1000,getByIndex,500
1000,addEnd,9200
1000,getIndex,4800
1000,removeEnd,8000
1000,addAtIndex,8200,662
1000,removeAtIndex,6400,427
1000,addFront,6400
1000,removeFront,8400
1000,getByIndex,600
1000,addEnd,8800
1000,getIndex,4500
1000,removeEnd,8300
1000,addAtIndex,7900,662
1000,removeAtIndex,10800,427
1000,addFront,10600
1000,removeFront,12400
1000,getByIndex,500
1000,addEnd,7100
1000,getIndex,4500
1000,removeEnd,8900
1000,addAtIndex,7900,662
1000,removeAtIndex,6700,427
1000,addFront,8300
1000,removeFront,7200
1000,getByIndex,500
1000,addEnd,6300
1000,getIndex,4200
1000,removeEnd,7500
1000,addAtIndex,17900,662
1000,removeAtIndex,7300,427
1000,addFront,6500
1000,removeFront,6700
1000,getByIndex,500
1000,addEnd,6500
1000,getIndex,3800
1000,removeEnd,6600
1000,addAtIndex,5600,662
1000,removeAtIndex,8200,427
1000,addFront,7700
1000,removeFront,7500
1000,getByIndex,600
1000,addEnd,6200
1000,getIndex,4000
1000,removeEnd,5700
1000,addAtIndex,5000,662
1000,removeAtIndex,5700,427
1000,addFront,6200
1000,removeFront,6700
1000,getByIndex,800
1000,addEnd,6300
1000,getIndex,4000
1000,removeEnd,6600
1000,addAtIndex,5300,662
1000,removeAtIndex,4900,427
1000,addFront,5400
1000,removeFront,7500
1000,getByIndex,500
1000,addEnd,5700
1000,getIndex,4000
1000,removeEnd,6400
1000,addAtIndex,5900,662
1000,removeAtIndex,6400,427
1000,addFront,5700
1000,removeFront,5700
1000,getByIndex,300
1000,addEnd,5900
1000,getIndex,4200
1000,removeEnd,6800
1000,addAtIndex,6900,662
1000,removeAtIndex,5500,427
1000,addFront,11100
1000,removeFront,6600
1000,getByIndex,700
1000,addEnd,5700
1000,getIndex,4500
1000,removeEnd,6700
1000,addAtIndex,6300,662
1000,removeAtIndex,6400,427
1000,addFront,5500
1000,removeFront,5500
1000,getByIndex,800
1000,addEnd,7300
1000,getIndex,4600
1000,removeEnd,6900
1000,addAtIndex,5000,662
1000,removeAtIndex,5700,427
1000,addFront,5400
1000,removeFront,5500
1000,getByIndex,800
1000,addEnd,5800
1000,getIndex,3700
1000,removeEnd,5800
1000,addAtIndex,5200,662
1000,removeAtIndex,5900,427
1000,addFront,5500
1000,removeFront,8500
1000,getByIndex,600
1000,addEnd,5600
1000,getIndex,4300
1000,removeEnd,6300
1000,addAtIndex,5600,662
1000,removeAtIndex,5800,427
1000,addFront,5200
1000,removeFront,4600
1000,getByIndex,300
1000,addEnd,6400
1000,getIndex,4000
1000,removeEnd,6700
1000,addAtIndex,5400,662
1000,removeAtIndex,5800,427
1000,addFront,5500
1000,removeFront,5400
1000,getByIndex,800
1000,addEnd,7600
1000,getIndex,4200
1000,removeEnd,6900
1000,addAtIndex,5700,662
1000,removeAtIndex,6900,427
1000,addFront,6100
1000,removeFront,5600
1000,getByIndex,800
1000,addEnd,5900
1000,getIndex,4100
1000,removeEnd,5700
1000,addAtIndex,4800,662
1000,removeAtIndex,5600,427
1000,addFront,5300
1000,removeFront,5500
1000,getByIndex,700
1000,addEnd,5700
1000,getIndex,3500
1000,removeEnd,7600
1000,addAtIndex,13800,662
1000,removeAtIndex,8400,427
1000,addFront,8500
1000,removeFront,6600
1000,getByIndex,400
1000,addEnd,6500
1000,getIndex,3800
1000,removeEnd,6200
1000,addAtIndex,5300,662
1000,removeAtIndex,5100,427
1000,addFront,5000
1000,removeFront,5400
1000,getByIndex,400
1000,addEnd,5100
1000,getIndex,4200
1000,removeEnd,6400
1000,addAtIndex,17900,662
1000,removeAtIndex,5200,427
1000,addFront,5200
1000,removeFront,5300
1000,getByIndex,400
1000,addEnd,5100
1000,getIndex,3100
1000,removeEnd,4400
1000,addAtIndex,5300,662
1000,removeAtIndex,5700,427
1000,addFront,6300
1000,removeFront,6000
1000,getByIndex,400
1000,addEnd,5400
1000,getIndex,3700
1000,removeEnd,6100
1000,addAtIndex,6100,662
1000,removeAtIndex,8200,427
1000,addFront,7600
1000,removeFront,5400
1000,getByIndex,700
1000,addEnd,5400
1000,getIndex,3600
1000,removeEnd,5500
1000,addAtIndex,4900,662
1000,removeAtIndex,6300,427
1000,addFront,6100
1000,removeFront,5700
1000,getByIndex,600
1000,addEnd,10400
1000,getIndex,6200
1000,removeEnd,5900
1000,addAtIndex,5200,662
1000,removeAtIndex,14100,427
1000,addFront,5800
1000,removeFront,6100
1000,getByIndex,600
1000,addEnd,5200
1000,getIndex,4600
1000,removeEnd,7100
1000,addAtIndex,19700,662
1000,removeAtIndex,5800,427
1000,addFront,5600
1000,removeFront,5100
1000,getByIndex,600
1000,addEnd,5300
1000,getIndex,4100
1000,removeEnd,7100
1000,addAtIndex,5900,662
1000,removeAtIndex,6300,427
1000,addFront,7100
1000,removeFront,5100
1000,getByIndex,700
1000,addEnd,5400
1000,getIndex,3700
1000,removeEnd,5100
1000,addAtIndex,5000,662
1000,removeAtIndex,5600,427
1000,addFront,6800
1000,removeFront,5800
1000,getByIndex,500
1000,addEnd,5800
